id,question,answer,filename,generated_answer
718mYsQTQbL,What are the items in the image?,bibs,4c/4c533ad7.jpg,handkerchief
718mYsQTQbL,What color is the solid bib?,yellow,4c/4c533ad7.jpg,yellow
718mYsQTQbL,How many bibs are shown?,six,4c/4c533ad7.jpg,four
718mYsQTQbL,What material are the bibs?,cotton,4c/4c533ad7.jpg,fabric
718mYsQTQbL,Does one bib have a striped pattern?,yes,4c/4c533ad7.jpg,yes
718mYsQTQbL,What fruit pattern includes a green dot?,watermelon,4c/4c533ad7.jpg,lemon
718mYsQTQbL,What citrus fruit is pictured on a bib?,lemons,4c/4c533ad7.jpg,lemon
718mYsQTQbL,What color is the border on the watermelon bib?,orange,4c/4c533ad7.jpg,orange
718mYsQTQbL,Is a solid white bib visible?,yes,4c/4c533ad7.jpg,no
718mYsQTQbL,"Based on the details, are these for infants?",yes,4c/4c533ad7.jpg,yes
81n2w4Ne0yL,What type of animal food is shown?,cat,73/7339dbbd.jpg,cat
81n2w4Ne0yL,What brand is on the can?,whole,73/7339dbbd.jpg,whole
81n2w4Ne0yL,What flavor is this cat dinner?,beef,73/7339dbbd.jpg,beef
81n2w4Ne0yL,Is this food grain-free?,yes,73/7339dbbd.jpg,yes
81n2w4Ne0yL,Is this food in a can?,yes,73/7339dbbd.jpg,yes
81n2w4Ne0yL,What ingredient is listed as number one?,beef,73/7339dbbd.jpg,oats
81n2w4Ne0yL,What year was the pictured cat rescued?,2008,73/7339dbbd.jpg,2005
81n2w4Ne0yL,What ingredients are stated to be excluded from the food?,corn,73/7339dbbd.jpg,vegetables
81n2w4Ne0yL,What is the name of the cat pictured?,pumpkin,73/7339dbbd.jpg,cat
81n2w4Ne0yL,What activity does the text say the cat enjoys daily?,bath,73/7339dbbd.jpg,eating
61D2NEA+aoL,What does 'UV' stand for on this filter?,ultraviolet,9a/9a09c358.jpg,camera
61D2NEA+aoL,What company produces this brand?,amazon,9a/9a09c358.jpg,sensa
